hour,harmonic_speed_kmh,congestion_multiplier,sample_size,total_distance_km,segment_count
0,16.554,1.2689,93840325,9401.67,183093
1,18.085,1.1615,54073661,7964.14,159607
2,19.611,1.0711,31334342,6605.69,135648
3,21.006,1.0,23680890,5742.32,119229
4,20.972,1.0016,30002086,5819.67,120965
5,19.242,1.0916,73649513,7507.75,152168
6,17.152,1.2247,204568877,9851.88,190839
7,15.53,1.3526,343283673,11367.48,214094
8,14.481,1.4505,393841813,12110.48,225380
9,13.559,1.5492,358642256,12398.39,230135
10,13.052,1.6094,326543242,12639.6,233850
11,12.69,1.6552,320271727,12914.22,237650
12,12.512,1.6789,342511071,13283.09,242704
13,12.663,1.6588,365528631,13414.62,244668
14,12.845,1.6353,350271060,13318.38,243434
15,12.779,1.6438,350189232,13365.17,243634
16,12.711,1.6526,379559066,13514.4,245333
17,12.737,1.6491,417883341,13596.04,246070
18,12.684,1.6561,437892609,13685.9,247309
19,12.725,1.6508,409273241,13634.08,246348
20,12.811,1.6397,342710272,13313.21,242037
21,13.361,1.5722,273496792,12702.6,233296
22,14.094,1.4904,210863708,11921.81,221609
23,15.058,1.395,152562737,10839.96,205067
